Director,Star1
Christopher Nolan,Christian Bale
Christopher Nolan,Leonardo DiCaprio
Thomas Kail,Lin-Manuel Miranda
Bong Joon Ho,Kang-ho Song
Sudha Kongara,Suriya
Christopher Nolan,Matthew McConaughey
Todd Phillips,Joaquin Phoenix
Damien Chazelle,Miles Teller
Olivier Nakache,Éric Toledano
Christopher Nolan,Christian Bale
Martin Scorsese,Leonardo DiCaprio
Nadine Labaki,Zain Al Rafeea
Can Ulkay,Erdem Can
Gayatri,Pushkar
Makoto Shinkai,Ryûnosuke Kamiki
Nitesh Tiwari,Aamir Khan
Bob Persichetti,Peter Ramsey
Anthony Russo,Joe Russo
Anthony Russo,Joe Russo
Lee Unkrich,Adrian Molina
Quentin Tarantino,Jamie Foxx
Christopher Nolan,Christian Bale
Rajkumar Hirani,Aamir Khan
Aamir Khan,Amole Gupte
Andrew Stanton,Ben Burtt
Florian Henckel von Donnersmarck,Ulrich Mühe
Sam Mendes,Dean-Charles Chapman
Rahi Anil Barve,Anand Gandhi
Sriram Raghavan,Ayushmann Khurrana
Jeethu Joseph,Mohanlal
Thomas Vinterberg,Mads Mikkelsen
Asghar Farhadi,Payman Maadi
Denis Villeneuve,Lubna Azabal
Mehmet Ada Öztekin,Aras Bulut Iynemli
Çagan Irmak,Çetin Tekindor
Quentin Tarantino,Brad Pitt
Michel Gondry,Jim Carrey
Nitesh Tiwari,Sushant Singh Rajput
Aditya Dhar,Vicky Kaushal
Prashanth Neel,Yash
Peter Farrelly,Viggo Mortensen
Martin McDonagh,Frances McDormand
Meghna Gulzar,Irrfan Khan
S.S. Rajamouli,Prabhas
Sergio Pablos,Carlos Martínez López
Nishikant Kamat,Ajay Devgn
Vikas Bahl,Kangana Ranaut
Zaza Urushadze,Lembit Ulfsak
Rakeysh Omprakash Mehra,Farhan Akhtar
Anurag Kashyap,Manoj Bajpayee
Vikramaditya Motwane,Rajat Barmecha
Tigmanshu Dhulia,Irrfan Khan
Juan José Campanella,Ricardo Darín
Gavin O'Connor,Tom Hardy
Martin Scorsese,Leonardo DiCaprio
Pete Docter,Bob Peterson
Martin Scorsese,Leonardo DiCaprio
Shimit Amin,Shah Rukh Khan
Paul Thomas Anderson,Daniel Day-Lewis
Guillermo del Toro,Ivana Baquero
Lee Unkrich,Tom Hanks
James McTeigue,Hugo Weaving
Rakeysh Omprakash Mehra,Aamir Khan
Sanjay Leela Bhansali,Amitabh Bachchan
Christopher Nolan,Christian Bale
Ashutosh Gowariker,Shah Rukh Khan
Oliver Hirschbiegel,Bruno Ganz
Hayao Miyazaki,Chieko Baishô
Céline Sciamma,Noémie Merlant
Aniruddha Roy Chowdhury,Taapsee Pannu
Naoko Yamada,Miyu Irino
Oriol Paulo,Mario Casas
Chan-wook Park,Kim Min-hee
Xavier Dolan,Anne Dorval
Vishal Bhardwaj,Shahid Kapoor
James Mangold,Hugh Jackman
Lenny Abrahamson,Brie Larson
Damián Szifron,Darío Grandinetti
Pete Docter,Kemp Powers
Nuri Bilge Ceylan,Haluk Bilginer
Rajkumar Hirani,Aamir Khan
Umesh Shukla,Paresh Rawal
Wes Anderson,Ralph Fiennes
David Fincher,Ben Affleck
Mamoru Hosoda,Aoi Miyazaki
Mel Gibson,Andrew Garfield
Pete Docter,Ronnie Del Carmen
Anurag Basu,Ranbir Kapoor
Steve McQueen,Chiwetel Ejiofor
Ron Howard,Daniel Brühl
James Mangold,Matt Damon
Tom McCarthy,Mark Ruffalo
Tomm Moore,David Rawle
Sujoy Ghosh,Vidya Balan
Zoya Akhtar,Hrithik Roshan
Denis Villeneuve,Hugh Jackman
George Miller,Tom Hardy
Neeraj Pandey,Anupam Kher
Clint Eastwood,Clint Eastwood
David Yates,Daniel Radcliffe
